n_classes,injected_noise_rate,true_noise_rate_mean,true_noise_rate_std,estimated_noise_rate_mean,estimated_noise_rate_std,issue_precision_mean,issue_recall_mean,oof_auroc_vs_clean_mean
2,0.0,0.0,0.0,0.0228,0.014174625215503937,0.0,,0.9726827733333335
2,0.05,0.05173333333333333,0.0019629909152447276,0.07079999999999999,0.01058300524425837,0.611552181031334,0.818864978285268,0.9730267733333333
2,0.1,0.1034,0.0010000000000000009,0.12073333333333332,0.009124326459160328,0.7289464668875065,0.8464545028420671,0.97243776
2,0.15,0.1542,0.0024979991993593575,0.17246666666666668,0.011856362567555602,0.7813713978537756,0.8709778879576259,0.9718563733333333
2,0.2,0.20613333333333336,0.0031005375877955874,0.22406666666666666,0.011045964572337402,0.8095481181223954,0.8781897239112246,0.97082832
2,0.25,0.255,0.00399499687108763,0.2730666666666666,0.011962162569256989,0.8289523362426143,0.886472316355869,0.9698997866666668
2,0.3,0.3047333333333333,0.001026320287889381,0.3214666666666667,0.006500256405199215,0.8482750726090839,0.8945022734651354,0.9687603199999999
2,0.35,0.35533333333333333,0.0033306655991458076,0.3725333333333333,0.007537461995481865,0.8540810715450062,0.8953227012399977,0.9630281066666667
2,0.4,0.4037333333333333,0.003214550253664313,0.4172,0.00987724657989258,0.8457313627928116,0.8741021903505327,0.9476529066666667
2,0.45,0.4546666666666666,0.008818919056966865,0.4600666666666666,0.014732730002729797,0.7929098522099225,0.8026045685402545,0.8920052799999999
2,0.5,0.5024000000000001,0.009897474425326886,0.48219999999999996,0.03829725838751382,0.4861669585721073,0.466115895141421,0.47751424000000003
3,0.0,0.0,0.0,0.037733333333333334,0.017206200432789726,0.0,,0.9776129598108999
3,0.05,0.05173333333333333,0.0019629909152447276,0.08313333333333332,0.02063912142832958,0.5706075420597213,0.8796369492021666,0.9767039186740237
3,0.1,0.1034,0.0010000000000000009,0.1328,0.018003333024748498,0.7028089862553567,0.8911994771942956,0.975597917595349
3,0.15,0.1542,0.0024979991993593575,0.17473333333333332,0.01733935792736667,0.782574225135214,0.8817995911537921,0.9736872706326366
3,0.2,0.20613333333333336,0.0031005375877955874,0.21786666666666665,0.012809892010994214,0.8282804351224483,0.8734401182880663,0.9719615096748173
3,0.25,0.255,0.00399499687108763,0.2584,0.014437451298619149,0.8589988895281309,0.8686228746761268,0.970563259976024
3,0.3,0.3047333333333333,0.001026320287889381,0.29473333333333335,0.00840079361330426,0.8855594101117239,0.8555710099619187,0.9689828798791846
3,0.35,0.35533333333333333,0.0033306655991458076,0.3313333333333333,0.00654318984390134,0.9052417209016274,0.843628538730896,0.9658297777973992
3,0.4,0.4037333333333333,0.003214550253664313,0.36166666666666664,0.005514828495368945,0.9253173649419916,0.8287730827262947,0.963792381964422
3,0.45,0.4546666666666666,0.008818919056966865,0.39199999999999996,0.006609084656743326,0.9381985901737077,0.8090901212563072,0.9588496237524323
3,0.5,0.5024000000000001,0.009897474425326886,0.41986666666666667,0.004196824196143227,0.9394778995856932,0.785537799772373,0.9500925536540485
4,0.0,0.0,0.0,0.1216,0.012510795338426734,0.0,,0.9391635733333333
4,0.05,0.05173333333333333,0.0019629909152447276,0.15513333333333332,0.00850490054811539,0.28257869411582015,0.8449665739520812,0.9382514133333334
4,0.1,0.1034,0.0010000000000000009,0.19546666666666668,0.010848655830716234,0.44941270364994934,0.8486620386195657,0.9369385066666668
4,0.15,0.1542,0.0024979991993593575,0.22940000000000002,0.010999999999999992,0.5665727576521414,0.8421800610444818,0.9353353955555556
4,0.2,0.20613333333333336,0.0031005375877955874,0.26333333333333336,0.006616141876753645,0.6488250914627712,0.8285272530177221,0.9330991822222222
4,0.25,0.255,0.00399499687108763,0.29686666666666667,0.015233296863559563,0.7093496181142834,0.824990091769379,0.9315658133333334
4,0.3,0.3047333333333333,0.001026320287889381,0.3233333333333333,0.010503967504392503,0.7592619585801937,0.8052950638363349,0.9290782755555554
4,0.35,0.35533333333333333,0.0033306655991458076,0.3560666666666667,0.005205125678918192,0.7999225583140239,0.8015454334527768,0.9266540799999999
4,0.4,0.4037333333333333,0.003214550253664313,0.38599999999999995,0.007219418259112025,0.8251651530465939,0.7888240619238021,0.9220552355555555
4,0.45,0.4546666666666666,0.008818919056966865,0.40953333333333336,0.004437717130838023,0.8559361539966366,0.771046005159787,0.9193286222222222
4,0.5,0.5024000000000001,0.009897474425326886,0.4344666666666666,0.0030615900008546843,0.8735613153540357,0.755598899420161,0.9108720533333333
