n_classes,seed,injected_noise_rate,true_noise_rate,estimated_noise_rate,issue_precision,issue_recall,oof_auroc_vs_clean
2,0,0.0,0.0,0.0386,0.0,,0.9577008000000001
2,0,0.05,0.0506,0.0828,0.47342995169082125,0.7747035573122529,0.95777728
2,0,0.1,0.1034,0.1306,0.6508422664624809,0.8220502901353965,0.9566216000000001
2,0,0.15,0.157,0.1836,0.7233115468409586,0.845859872611465,0.9558433599999998
2,0,0.2,0.2092,0.236,0.7576271186440678,0.8546845124282982,0.9539928
2,0,0.25,0.2596,0.286,0.7839160839160839,0.8636363636363636,0.9523632
2,0,0.3,0.3036,0.3214,0.8176726820161793,0.8656126482213439,0.9507222399999999
2,0,0.35,0.3516,0.3646,0.8354360943499726,0.8663253697383391,0.9460078399999999
2,0,0.4,0.4024,0.4058,0.8294726466239527,0.8364811133200796,0.9236793600000001
2,0,0.45,0.454,0.4448,0.7769784172661871,0.7612334801762115,0.86089952
2,0,0.5,0.504,0.4404,0.5308810172570391,0.4638888888888889,0.5303488000000001
2,1,0.0,0.0,0.0186,0.0,,0.9749379200000001
2,1,0.05,0.0506,0.0668,0.6287425149700598,0.8300395256916996,0.9757070400000001
2,1,0.1,0.1024,0.119,0.7260504201680672,0.84375,0.9750553599999999
2,1,0.15,0.1534,0.1738,0.7733026467203682,0.8761408083441982,0.97429904
2,1,0.2,0.203,0.222,0.8036036036036036,0.8788177339901477,0.9732567999999999
2,1,0.25,0.2524,0.2708,0.827178729689808,0.8874801901743264,0.9722688000000002
2,1,0.3,0.3056,0.328,0.8420731707317073,0.9037958115183246,0.9712020799999999
2,1,0.35,0.3564,0.3796,0.8403582718651211,0.8950617283950617,0.9631251200000001
2,1,0.4,0.4014,0.4226,0.8461902508282063,0.890881913303438,0.95389312
2,1,0.45,0.4462,0.4612,0.7961838681699913,0.8229493500672345,0.90539616
2,1,0.5,0.4918,0.5156,0.5003878975950349,0.524603497356649,0.5198984
2,2,0.0,0.0,0.0112,0.0,,0.9854096000000001
2,2,0.05,0.054,0.0628,0.732484076433121,0.8518518518518519,0.9855960000000001
2,2,0.1,0.1044,0.1126,0.8099467140319716,0.8735632183908046,0.98563632
2,2,0.15,0.1522,0.16,0.8475,0.8909329829172142,0.9854267200000001
2,2,0.2,0.2062,0.2142,0.8674136321195145,0.9010669253152279,0.98523536
2,2,0.25,0.253,0.2624,0.8757621951219512,0.908300395256917,0.98506736
2,2,0.3,0.305,0.315,0.8850793650793651,0.9140983606557377,0.9843566399999999
2,2,0.35,0.358,0.3734,0.886448848419925,0.9245810055865922,0.97995136
2,2,0.4,0.4074,0.4232,0.861531190926276,0.8949435444280806,0.96538624
2,2,0.45,0.4638,0.4742,0.8055672711935892,0.8236308753773178,0.90972016
2,2,0.5,0.5114,0.4906,0.42723196086424786,0.40985529917872504,0.38229552
3,0,0.0,0.0,0.0496,0.0,,0.9707095349913039
3,0,0.05,0.0506,0.103,0.4446601941747573,0.9051383399209486,0.9683759165957868
3,0,0.1,0.1034,0.151,0.6132450331125828,0.8955512572533849,0.9663211356102206
3,0,0.15,0.157,0.1932,0.727743271221532,0.8955414012738854,0.9632374846279316
3,0,0.2,0.2092,0.2318,0.7773943054357204,0.861376673040153,0.960200687574632
3,0,0.25,0.2596,0.2734,0.8127286027798098,0.8559322033898306,0.9576411244581439
3,0,0.3,0.3036,0.3032,0.8397097625329816,0.8386034255599473,0.9552567207259789
3,0,0.35,0.3516,0.3346,0.867901972504483,0.825938566552901,0.951972157664013
3,0,0.4,0.4024,0.3612,0.8997785160575859,0.8076540755467196,0.9486311050097802
3,0,0.45,0.454,0.3876,0.9200206398348814,0.7854625550660793,0.9446744835219683
3,0,0.5,0.504,0.4166,0.9102256361017763,0.7523809523809524,0.9289820050490031
3,1,0.0,0.0,0.018,0.0,,0.9890816948714504
3,1,0.05,0.0506,0.0618,0.7281553398058253,0.8893280632411067,0.9888084306918028
3,1,0.1,0.1024,0.115,0.8139130434782609,0.9140625,0.9881793116223401
3,1,0.15,0.1534,0.1588,0.8627204030226701,0.8930899608865711,0.9866591942279267
3,1,0.2,0.203,0.2066,0.888673765730881,0.9044334975369458,0.9859331792998933
3,1,0.25,0.2524,0.2446,0.9182338511856092,0.8898573692551506,0.9851004323418477
3,1,0.3,0.3056,0.2864,0.9364525139664804,0.8776178010471204,0.9834472919685605
3,1,0.35,0.3564,0.3238,0.9431747992588018,0.8569023569023569,0.9802019343745868
3,1,0.4,0.4014,0.3564,0.9551066217732884,0.8480318883906328,0.9791530812257193
3,1,0.45,0.4462,0.3888,0.9696502057613169,0.8449125952487674,0.978017821805787
3,1,0.5,0.4918,0.4184,0.9717973231357553,0.826758845058967,0.9738552998774903
3,2,0.0,0.0,0.0456,0.0,,0.9730476495699456
3,2,0.05,0.054,0.0846,0.5390070921985816,0.8444444444444444,0.9729274087344816
3,2,0.1,0.1044,0.1324,0.6812688821752266,0.8639846743295019,0.972293305553486
3,2,0.15,0.1522,0.1722,0.7572590011614402,0.8567674113009198,0.9711651330420513
3,2,0.2,0.2062,0.2152,0.8187732342007435,0.8545101842870999,0.9697506621499267
3,2,0.25,0.253,0.2572,0.8460342146189735,0.8600790513833992,0.9689482231280803
3,2,0.3,0.305,0.2946,0.8805159538357095,0.8504918032786886,0.9682446269430146
