run_id,family,view_scope,label_space,cleaning,topk,image_micro,image_macro,image_Atelectasis,image_Cardiomegaly,image_Consolidation,image_Edema,image_Enlarged Cardiomediastinum,image_Fracture,image_Lung Lesion,image_Lung Opacity,image_Pleural Effusion,image_Pleural Other,image_Pneumonia,image_Pneumothorax
appa_densenet_baseline,DenseNet,AP/PA,14->common12,baseline,,0.8907888089976654,0.7607835110846567,0.9245689655172413,0.8691216216216217,0.7303648732220162,0.8880195891065455,0.8654377880184332,0.5681063122923589,0.7321428571428572,0.6415064607626852,0.9204946996466431,0.5,0.7796389656854773,0.7100000000000001
appa_densenet_full_entry,DenseNet,AP/PA,14->common12,full_entry,,0.8818327580720178,0.7565446150225005,0.9525862068965517,0.870472972972973,0.7600494743351887,0.8972766364070711,0.843778801843318,0.5049833887043189,0.2857142857142857,0.6531673495115033,0.9191099226434916,0.8928571428571429,0.7753293218409497,0.7232098765432099
appa_densenet_full_sample,DenseNet,AP/PA,14->common12,full_sample,,0.8863269175562632,0.7860339443329095,0.9267241379310345,0.8583783783783784,0.776747062461348,0.8861084567606307,0.8497695852534562,0.5149501661129569,0.5803571428571429,0.6530097699338167,0.9158628593257568,0.9642857142857143,0.7905350463489998,0.715679012345679
appa_densenet_top05_entry,DenseNet,AP/PA,14->common12,topk_entry,5%,0.8940473249792482,0.817111278015791,0.8642241379310345,0.8512162162162162,0.7773654916512059,0.8951863354037266,0.8511520737327188,0.6644518272425248,0.8482142857142857,0.6690828868578632,0.9181071530894852,0.9642857142857143,0.7878516832005203,0.7141975308641975
appa_densenet_top05_sample,DenseNet,AP/PA,14->common12,topk_sample,5%,0.8890168483691285,0.7547699090150343,0.9224137931034483,0.8524324324324324,0.7724180581323438,0.913580984233158,0.8562211981566821,0.5681063122923589,0.875,0.6807437756066814,0.9017763346385254,0.21428571428571427,0.7860627744348675,0.7141975308641976
appa_densenet_top10_entry,DenseNet,AP/PA,14->common12,topk_entry,10%,0.8927794134337426,0.8107111760349085,0.9331896551724138,0.8527027027027028,0.7575757575757576,0.8967988533205924,0.8870967741935484,0.49169435215946844,0.8660714285714286,0.6820044122281752,0.9108012606245821,0.9642857142857143,0.7891527077573588,0.6971604938271605
appa_densenet_top10_sample,DenseNet,AP/PA,14->common12,topk_sample,10%,0.8894151917945705,0.8158949240608359,0.8900862068965517,0.8794594594594596,0.7742733457019172,0.8928571428571428,0.8451612903225806,0.5182724252491695,0.9642857142857143,0.6448156318941065,0.9109445134180117,0.9285714285714286,0.780777362172711,0.7612345679012347
appa_densenet_top20_entry,DenseNet,AP/PA,14->common12,topk_entry,20%,0.8905506930953064,0.800242009121118,0.959051724137931,0.8719594594594594,0.7983920841063699,0.8775083612040132,0.8953917050691245,0.5182724252491695,0.7232142857142857,0.6051055783170501,0.911947282972018,0.9642857142857143,0.7637014148642056,0.7140740740740741
appa_densenet_top20_sample,DenseNet,AP/PA,14->common12,topk_sample,20%,0.8935260291836631,0.8192563066304747,0.9310344827586207,0.846891891891892,0.7699443413729129,0.9035475394171046,0.8465437788018433,0.5514950166112957,0.9285714285714286,0.671604160100851,0.9178206475026264,0.9642857142857143,0.7909416165230119,0.7083950617283951
appa_xrv_direct_baseline,XRV direct,AP/PA,common12,baseline,,0.8691964812255625,0.6633826497027392,0.5,0.8269256756756757,0.7424242424242423,0.888586956521739,0.8419354838709677,0.5,0.5,0.5,0.896977366058638,0.5,0.7637420718816068,0.5
appa_xrv_direct_full_entry,XRV direct,AP/PA,common12,full_entry,,0.8317916997692278,0.6344685801246164,0.5,0.7339189189189189,0.7090290661719234,0.8667881032011466,0.6776497695852535,0.5,0.5,0.5,0.8534285168560787,0.5,0.7728085867620751,0.5
appa_xrv_direct_full_sample,XRV direct,AP/PA,common12,full_sample,,0.8309443854718144,0.6359316136228036,0.5,0.7424324324324325,0.7235621521335807,0.8419135212613473,0.7207373271889401,0.5,0.5,0.5,0.8422070480374367,0.5,0.7603268824199056,0.5
appa_xrv_linear_baseline,XRV linear-head,AP/PA,common12,baseline,,0.8938603928689851,0.8095378312868943,0.8857758620689655,0.8358108108108109,0.8107606679035251,0.902651696129957,0.8751152073732719,0.5514950166112957,0.7589285714285714,0.7113142136779073,0.9167701270174768,1.0,0.7915108147666288,0.674320987654321
appa_xrv_linear_full_entry,XRV linear-head,AP/PA,common12,full_entry,,0.8810243879642425,0.802745870374015,0.9116379310344828,0.8335472972972973,0.826221397649969,0.9062947921643574,0.8705069124423963,0.5548172757475083,0.6696428571428572,0.6566341002206114,0.9108490115557253,1.0,0.7871198568872987,0.7056790123456791
