run_id,family,view_scope,label_space,cleaning,topk,study_micro,study_macro,study_Atelectasis,study_Cardiomegaly,study_Consolidation,study_Edema,study_Enlarged Cardiomediastinum,study_Fracture,study_Lung Lesion,study_Lung Opacity,study_Pleural Effusion,study_Pleural Other,study_Pneumonia,study_Pneumothorax
appa_densenet_baseline,DenseNet,AP/PA,14->common12,baseline,,0.895079284396465,0.7682974480758582,0.9339622641509434,0.8759803921568627,0.7585034013605442,0.8946011842563567,0.8540965207631874,0.5868725868725868,0.7254901960784315,0.642454954954955,0.925107880990234,0.5,0.7767783291976841,0.7457216661285114
appa_densenet_top05_sample,DenseNet,AP/PA,14->common12,topk_sample,5%,0.8935126914201805,0.7667071563966821,0.9386792452830188,0.8647875816993464,0.8000000000000002,0.9176593521421108,0.8484848484848485,0.5830115830115831,0.8627450980392157,0.6786786786786787,0.9039859186918012,0.2727272727272727,0.7869106699751861,0.7428156280271231
appa_densenet_top10_sample,DenseNet,AP/PA,14->common12,topk_sample,10%,0.8948002560337363,0.8272327626505852,0.9033018867924528,0.8854575163398692,0.8013605442176872,0.9031696273075585,0.8395061728395061,0.5405405405405406,0.9607843137254902,0.6377627627627627,0.9165909607086078,0.9545454545454546,0.7786393713813069,0.8051340006457862
appa_densenet_top20_sample,DenseNet,AP/PA,14->common12,topk_sample,20%,0.8988189368145315,0.826138997839139,0.9433962264150944,0.8590686274509803,0.8054421768707484,0.9136189481017066,0.8282828282828283,0.5637065637065637,0.931372549019608,0.6685435435435435,0.9224392459686576,0.9545454545454546,0.7912531017369727,0.7319987084275104
appa_densenet_top05_entry,DenseNet,AP/PA,14->common12,topk_entry,5%,0.8972301560407288,0.8206878799889052,0.8844339622641509,0.8575163398692811,0.8054421768707483,0.9010797631487286,0.8361391694725029,0.6640926640926641,0.8431372549019608,0.6606606606606605,0.921871451283216,0.9545454545454546,0.7870140612076095,0.7323216015498869
appa_densenet_top10_entry,DenseNet,AP/PA,14->common12,topk_entry,10%,0.8972805828532702,0.8199844174217926,0.9481132075471698,0.858251633986928,0.7965986394557822,0.9091605712295368,0.8748597081930416,0.5212355212355213,0.8627450980392157,0.6783033033033034,0.9150011355893708,0.9545454545454546,0.792390405293631,0.7286083306425573
appa_densenet_top20_entry,DenseNet,AP/PA,14->common12,topk_entry,20%,0.8945360195360196,0.8065297055164805,0.964622641509434,0.8775326797385621,0.827891156462585,0.8874956461163357,0.8827160493827161,0.5328185328185329,0.7156862745098038,0.6036036036036035,0.9156824892119008,0.9545454545454546,0.7626137303556657,0.7531482079431708
appa_xrv_linear_baseline,XRV linear-head,AP/PA,common12,baseline,,0.8977545948911589,0.8157916451989516,0.8985849056603774,0.8429738562091504,0.8312925170068028,0.9111807732497388,0.8597081930415265,0.555984555984556,0.7647058823529411,0.710960960960961,0.9189756983874632,1.0,0.7984904880066171,0.6966419115272845
appa_xrv_linear_top05_sample,XRV linear-head,AP/PA,common12,topk_sample,5%,0.8985708368968279,0.8142545405731175,0.8985849056603774,0.8695261437908497,0.8231292517006804,0.9168930686172068,0.8754208754208753,0.5521235521235521,0.7450980392156863,0.7364864864864865,0.9161367249602544,0.8636363636363636,0.7842224979321752,0.7897965773329029
appa_xrv_linear_top10_sample,XRV linear-head,AP/PA,common12,topk_sample,10%,0.9004998305659098,0.8383889435404835,0.9433962264150944,0.8543300653594772,0.8605442176870748,0.900592128178335,0.856341189674523,0.5945945945945946,0.892156862745098,0.7180930930930931,0.9203384056325232,1.0,0.7902191894127378,0.7300613496932515
appa_xrv_linear_top20_sample,XRV linear-head,AP/PA,common12,topk_sample,20%,0.8990273676397025,0.8385758884726328,0.9693396226415094,0.8517973856209151,0.8333333333333334,0.90118425635667,0.8434343434343434,0.6602316602316602,0.8137254901960784,0.7293543543543544,0.9230070406540996,1.0,0.809863523573201,0.7276396512754278
appa_xrv_linear_top05_entry,XRV linear-head,AP/PA,common12,topk_entry,5%,0.9004077175883345,0.8243104739058483,0.8443396226415094,0.8651143790849674,0.8775510204081634,0.907070707070707,0.8765432098765433,0.6293436293436294,0.7745098039215685,0.697072072072072,0.910118101294572,0.9545454545454546,0.8154466501240695,0.7400710364869229
appa_xrv_linear_top10_entry,XRV linear-head,AP/PA,common12,topk_entry,10%,0.8988364181095458,0.7847542243959552,0.8018867924528301,0.8694444444444445,0.845578231292517,0.9145245559038664,0.8664421997755332,0.5984555984555985,0.5980392156862745,0.6584084084084083,0.9161935044287988,0.8181818181818182,0.7998345740281224,0.7300613496932515
appa_xrv_linear_top20_entry,XRV linear-head,AP/PA,common12,topk_entry,20%,0.8915675611710854,0.7859494226901499,0.8820754716981132,0.8462418300653595,0.8095238095238095,0.9003134796238245,0.8378226711560045,0.5135135135135136,0.6176470588235294,0.6559684684684685,0.9254485578014988,0.931818181818182,0.7903225806451613,0.7206974491443332
