run_id,study_weighted_auroc,study_macro_auroc
appa_xrv_linear_top20_sample,0.850563603084416,0.8385787910617423
appa_xrv_linear_top10_sample,0.8472223975642957,0.8383889435404835
appa_xrv_linear_top05_sample,0.8452522245281041,0.8142545405731175
appa_densenet_top10_sample,0.8425339623648648,0.8272327626505852
appa_densenet_top20_sample,0.8417400546664516,0.826138997839139
appa_densenet_top10_entry,0.8398769755983913,0.8199844174217926
appa_xrv_linear_top05_entry,0.8372618490781214,0.8243104739058483
appa_xrv_linear_baseline,0.8329938609999568,0.8157916451989516
appa_xrv_linear_full_entry,0.8329315229189546,0.8113731429839973
appa_densenet_top20_entry,0.8324207617286412,0.8065297055164805
appa_densenet_top05_entry,0.8323229124956641,0.8206878799889052
appa_densenet_top05_sample,0.8319139835814177,0.7667071563966821
appa_xrv_linear_full_sample,0.8314531031095372,0.8127337775747208
appa_densenet_full_sample,0.8268822507448597,0.7898541923501216
appa_densenet_baseline,0.8267877731574683,0.7683130887164987
appa_densenet_full_entry,0.8239509355306978,0.7610733050696411
appa_xrv_linear_top20_entry,0.8204146901607572,0.78785900272473
appa_xrv_linear_top10_entry,0.8197288021082899,0.7847542243959552
fullview_densenet_baseline,0.815711368887071,0.7961812798817897
fullview_densenet_full_sample,0.8081958615110124,0.785527485334034
fullview_densenet_full_entry,0.8059131887510294,0.782356868067014
appa_xrv_direct_baseline,0.7196737074228816,0.6658088333582616
appa_xrv_direct_full_entry,0.6856492659566534,0.6339770393939118
appa_xrv_direct_full_sample,0.6848537757127497,0.6369964482607392
