family,label,top05_sample_pos_removed_pct,top05_sample_neg_removed_pct,top10_sample_pos_removed_pct,top10_sample_neg_removed_pct,top20_sample_pos_removed_pct,top20_sample_neg_removed_pct,top05_entry_pos_removed_pct,top05_entry_neg_removed_pct,top10_entry_pos_removed_pct,top10_entry_neg_removed_pct,top20_entry_pos_removed_pct,top20_entry_neg_removed_pct
DenseNet,Lung Lesion,0.013170025023047543,4.512195121951219,0.3555906756222837,7.439024390243903,1.5804030027657052,17.073170731707318,0.0,6.097560975609756,0.0,11.341463414634147,0.0,23.414634146341463
DenseNet,Pleural Other,0.18042399639152007,0.24747903815609648,0.5767124170371802,0.8458611901156133,1.5964301823571105,3.8894839877368597,0.0,17.073170731707318,0.0,25.203252032520325,0.0,36.58536585365854
DenseNet,Atelectasis,0.0,5.747126436781609,0.02919006164254194,10.40868454661558,0.6112742320438195,25.925925925925927,0.0,24.074074074074073,0.0,38.31417624521073,0.0,43.039591315453386
DenseNet,Fracture,0.01898614011771407,5.777310924369748,0.34175052211885326,7.352941176470588,2.9048794380102527,10.714285714285714,0.0,0.0,0.0,1.5756302521008403,0.0,3.2563025210084033
DenseNet,Lung Opacity,0.001750976169214337,4.498153742866734,0.09805466547600288,9.936220208123531,0.8457214897305247,22.390063779791877,0.0,15.273581738838537,0.0,25.243370258476,0.0,37.898623699227926
XRV linear-head,Lung Lesion,0.0,4.634146341463414,0.14487027525352297,6.219512195121951,1.0272619517977084,13.414634146341463,0.0,8.78048780487805,0.0,16.463414634146343,0.0,27.5609756097561
XRV linear-head,Pleural Other,0.0,5.691056910569106,0.03604902667627974,8.94308943089431,0.8651766402307137,18.69918699186992,0.0,21.951219512195124,0.0,30.08130081300813,0.0,40.65040650406504
XRV linear-head,Atelectasis,0.0,7.598978288633461,0.0,13.47381864623244,0.35371486460962587,25.862068965517242,0.0,37.994891443167305,0.0,45.466155810983395,0.0,45.466155810983395
XRV linear-head,Fracture,0.0,8.193277310924369,0.07594456047085628,9.873949579831933,1.4619327890639833,14.390756302521009,0.0,1.365546218487395,0.0,4.621848739495798,0.0,13.235294117647058
XRV linear-head,Lung Opacity,0.0,4.464585431352803,0.021011714030572042,10.506881503860356,0.4254872091190839,21.71869754951326,0.0,17.0862705605908,0.0,32.4269889224572,0.0,39.91272239006378
