run_id,family,study_micro_mean,study_micro_ci_low,study_micro_ci_high,study_macro_mean,study_macro_ci_low,study_macro_ci_high,study_weighted_mean,study_weighted_ci_low,study_weighted_ci_high
appa_densenet_baseline,DenseNet,0.8726080280128762,0.8467179853535832,0.8912030907926297,0.777235435611995,0.7338995241866176,0.8268563864466807,0.8358614624868751,0.8054882863711811,0.8610960533891671
appa_densenet_top10_sample,DenseNet,0.8699561886509398,0.8409001816584164,0.8893471815858562,0.8224772464926693,0.7870162842373469,0.8579252400305349,0.8448058872862154,0.8156352604146936,0.8691151250979295
appa_densenet_top05_entry,DenseNet,0.873819297702016,0.8465504844086779,0.8920957765499128,0.8245192892503774,0.7875430219654697,0.8596888299316741,0.8433437263993843,0.8173904088826536,0.8685032489400643
appa_xrv_linear_baseline,XRV linear-head,0.8939772008838027,0.8685735147759013,0.910543408449896,0.8090986725293394,0.7706748892134258,0.8487664365538086,0.8312509690512613,0.805174413205384,0.8568088661631401
appa_xrv_linear_top20_sample,XRV linear-head,0.8954083975322301,0.8723326355631071,0.9113116968226613,0.8313163299343285,0.7953203184463903,0.8656990777835766,0.847364878483025,0.8230012885134873,0.8681673096084428
appa_xrv_linear_top05_entry,XRV linear-head,0.8967508031728368,0.8737280511842602,0.9128171247718827,0.8206522610010663,0.7776568428371564,0.8562951948805818,0.8371225821585828,0.8023542876624864,0.8669118269055884
