family,label,baseline_auroc,top05_sample_auroc,top05_sample_pos_pct,top05_sample_neg_pct,top10_sample_auroc,top10_sample_pos_pct,top10_sample_neg_pct,top20_sample_auroc,top20_sample_pos_pct,top20_sample_neg_pct,top05_entry_auroc,top05_entry_pos_pct,top05_entry_neg_pct,top10_entry_auroc,top10_entry_pos_pct,top10_entry_neg_pct,top20_entry_auroc,top20_entry_pos_pct,top20_entry_neg_pct
DenseNet,Atelectasis,0.9339622641509434,0.9386792452830188,0.0,5.747126436781609,0.9033018867924528,0.0291900616425419,10.40868454661558,0.9433962264150944,0.6112742320438195,25.925925925925927,0.8844339622641509,0.0,24.074074074074076,0.9481132075471698,0.0,38.31417624521073,0.964622641509434,0.0,43.039591315453386
DenseNet,Fracture,0.5868725868725868,0.5830115830115831,0.018986140117714,5.777310924369748,0.5405405405405406,0.3417505221188532,7.352941176470588,0.5637065637065637,2.9048794380102527,10.714285714285714,0.6640926640926641,0.0,0.0,0.5212355212355213,0.0,1.5756302521008403,0.5328185328185329,0.0,3.256302521008404
DenseNet,Lung Lesion,0.7254901960784315,0.8627450980392157,0.0131700250230475,4.512195121951219,0.9607843137254902,0.3555906756222837,7.439024390243903,0.931372549019608,1.5804030027657052,17.073170731707318,0.8431372549019608,0.0,6.097560975609756,0.8627450980392157,0.0,11.341463414634148,0.7156862745098038,0.0,23.414634146341463
DenseNet,Lung Opacity,0.642454954954955,0.6786786786786787,0.0017509761692143,4.498153742866734,0.6377627627627627,0.0980546654760028,9.936220208123531,0.6685435435435435,0.8457214897305247,22.39006377979188,0.6606606606606605,0.0,15.273581738838535,0.6783033033033034,0.0,25.243370258476,0.6036036036036035,0.0,37.898623699227926
DenseNet,Pleural Other,0.5,0.2727272727272727,0.0,7.317073170731708,0.9545454545454546,0.0720980533525594,12.195121951219512,0.9545454545454546,1.8385003604902668,29.26829268292683,0.9545454545454546,0.0,17.073170731707318,0.9545454545454546,0.0,25.203252032520325,0.9545454545454546,0.0,36.58536585365854
XRV linear-head,Atelectasis,0.8985849056603774,0.8985849056603774,0.0,7.598978288633461,0.9433962264150944,0.0,13.47381864623244,0.9693396226415094,0.3537148646096258,25.86206896551724,0.8443396226415094,0.0,37.994891443167305,0.8018867924528301,0.0,45.4661558109834,0.8820754716981132,0.0,45.4661558109834
XRV linear-head,Fracture,0.555984555984556,0.5521235521235521,0.0,8.193277310924369,0.5945945945945946,0.0759445604708562,9.873949579831931,0.6602316602316602,1.4619327890639833,14.390756302521009,0.6293436293436294,0.0,1.365546218487395,0.5984555984555985,0.0,4.621848739495798,0.5135135135135136,0.0,13.235294117647058
XRV linear-head,Lung Lesion,0.7647058823529411,0.7450980392156863,0.0,4.634146341463414,0.892156862745098,0.1448702752535229,6.219512195121951,0.8137254901960784,1.0272619517977084,13.414634146341465,0.7745098039215685,0.0,8.78048780487805,0.5980392156862745,0.0,16.463414634146343,0.6176470588235294,0.0,27.5609756097561
XRV linear-head,Lung Opacity,0.710960960960961,0.7364864864864865,0.0,4.464585431352803,0.7180930930930931,0.021011714030572,10.506881503860356,0.7293543543543544,0.4254872091190839,21.71869754951326,0.697072072072072,0.0,17.0862705605908,0.6584084084084083,0.0,32.4269889224572,0.6559684684684685,0.0,39.91272239006378
XRV linear-head,Pleural Other,1.0,0.8636363636363636,0.0,5.691056910569106,1.0,0.0360490266762797,8.94308943089431,1.0,0.8651766402307137,18.69918699186992,0.9545454545454546,0.0,21.951219512195124,0.8181818181818182,0.0,30.08130081300813,0.931818181818182,0.0,40.65040650406504
