family,label,baseline_auroc,top05_sample_auroc,top05_sample_pos_pct,top05_sample_neg_pct,top10_sample_auroc,top10_sample_pos_pct,top10_sample_neg_pct,top20_sample_auroc,top20_sample_pos_pct,top20_sample_neg_pct,top05_entry_auroc,top05_entry_pos_pct,top05_entry_neg_pct,top10_entry_auroc,top10_entry_pos_pct,top10_entry_neg_pct,top20_entry_auroc,top20_entry_pos_pct,top20_entry_neg_pct
XRV linear-head,Atelectasis,0.8985849056603774,0.8985849056603774,0.0,7.598978288633461,0.9433962264150944,0.0,13.47381864623244,0.9693396226415094,0.3537148646096258,25.86206896551724,0.8443396226415094,0.0,37.994891443167305,0.8018867924528301,0.0,45.4661558109834,0.8820754716981132,0.0,45.4661558109834
XRV linear-head,Cardiomegaly,0.8429738562091504,0.8695261437908497,0.0285426141228854,1.5091045148416065,0.8543300653594772,0.2473693223983407,2.5505113494637066,0.8517973856209151,1.4271307061442735,7.084060863058119,0.8651143790849674,0.0,1.141182339735595,0.8694444444444445,0.0019028409415256,3.08680468944874,0.8462418300653595,0.0399596597720396,7.90720878024445
XRV linear-head,Consolidation,0.8312925170068028,0.8231292517006804,0.1661129568106312,0.5208333333333334,0.8605442176870748,0.8880654229491439,1.187015503875969,0.8333333333333334,2.676974188602096,5.29312015503876,0.8775510204081634,0.0,1.2596899224806202,0.845578231292517,0.0063889598773319,2.713178294573644,0.8095238095238095,0.1277791975466394,5.196220930232558
XRV linear-head,Edema,0.9111807732497388,0.9168930686172068,0.2469311679369376,0.3694242483788563,0.900592128178335,0.7431678419640525,0.9550009825112988,0.90118425635667,2.303108008642591,3.254077421890352,0.907070707070707,0.0854761735166322,0.3654942031833366,0.9145245559038664,0.2136904337915806,1.0689722931813717,0.9003134796238245,0.5460977752451505,3.081155433287482
XRV linear-head,Enlarged Cardiomediastinum,0.8597081930415265,0.8754208754208753,0.0642185766828186,0.7692307692307693,0.856341189674523,0.6013193998482106,1.801125703564728,0.8434343434343434,2.1600793975129897,6.829268292682927,0.8765432098765433,0.0,1.6135084427767354,0.8664421997755332,0.0,4.859287054409005,0.8378226711560045,0.0,10.938086303939963
XRV linear-head,Fracture,0.555984555984556,0.5521235521235521,0.0,8.193277310924369,0.5945945945945946,0.0759445604708562,9.873949579831931,0.6602316602316602,1.4619327890639833,14.390756302521009,0.6293436293436294,0.0,1.365546218487395,0.5984555984555985,0.0,4.621848739495798,0.5135135135135136,0.0,13.235294117647058
XRV linear-head,Lung Lesion,0.7647058823529411,0.7450980392156863,0.0,4.634146341463414,0.892156862745098,0.1448702752535229,6.219512195121951,0.8137254901960784,1.0272619517977084,13.414634146341465,0.7745098039215685,0.0,8.78048780487805,0.5980392156862745,0.0,16.463414634146343,0.6176470588235294,0.0,27.5609756097561
XRV linear-head,Lung Opacity,0.710960960960961,0.7364864864864865,0.0,4.464585431352803,0.7180930930930931,0.021011714030572,10.506881503860356,0.7293543543543544,0.4254872091190839,21.71869754951326,0.697072072072072,0.0,17.0862705605908,0.6584084084084083,0.0,32.4269889224572,0.6559684684684685,0.0,39.91272239006378
XRV linear-head,Pleural Effusion,0.9189756983874632,0.9161367249602544,0.21908628133256,0.269641340080523,0.9203384056325232,0.5944326309684902,0.7350496804934806,0.9230070406540996,1.7285263225723306,3.3575887415506225,0.910118101294572,0.08376828403892,0.9788350016621726,0.9161935044287988,0.2158644242541401,1.9872197392235809,0.9254485578014988,0.5541594174882403,3.82299708196358
XRV linear-head,Pleural Other,1.0,0.8636363636363636,0.0,5.691056910569106,1.0,0.0360490266762797,8.94308943089431,1.0,0.8651766402307137,18.69918699186992,0.9545454545454546,0.0,21.951219512195124,0.8181818181818182,0.0,30.08130081300813,0.931818181818182,0.0,40.65040650406504
XRV linear-head,Pneumonia,0.7984904880066171,0.7842224979321752,0.3761192354113453,0.3859384176524876,0.7902191894127378,1.5858758806523143,1.9506670022652908,0.809863523573201,4.142925309456311,5.26889839751657,0.8154466501240695,0.0,0.1174595184159744,0.7998345740281224,0.0224548797260504,0.3230136756439298,0.7903225806451613,0.2413899570550425,1.2333249433677322
XRV linear-head,Pneumothorax,0.6966419115272845,0.7897965773329029,5.85777486482058,0.0456871345029239,0.7300613496932515,8.99557594625594,0.2604166666666667,0.7276396512754278,12.944453547435687,1.4756944444444444,0.7400710364869229,0.1966246108471243,0.0068530701754385,0.7300613496932515,1.4664918892348024,0.0205592105263157,0.7206974491443332,7.6929378993937405,0.0571089181286549
