family,label,base_sample_positive,base_sample_negative,base_entry_positive,base_entry_negative,top05_sample_removed_positive,top05_sample_removed_negative,top10_sample_removed_positive,top10_sample_removed_negative,top20_sample_removed_positive,top20_sample_removed_negative,top05_entry_removed_positive,top05_entry_removed_negative,top10_entry_removed_positive,top10_entry_removed_negative,top20_entry_removed_positive,top20_entry_removed_negative,top05_sample_pos_pct,top05_sample_neg_pct,top05_entry_pos_pct,top05_entry_neg_pct,top10_sample_pos_pct,top10_sample_neg_pct,top10_entry_pos_pct,top10_entry_neg_pct,top20_sample_pos_pct,top20_sample_neg_pct,top20_entry_pos_pct,top20_entry_neg_pct
XRV linear-head,Atelectasis,58239,1566,58239,1566,0,119,0,211,206,405,0,595,0,712,0,712,0.0,7.598978288633461,0.0,37.994891443167305,0.0,13.47381864623244,0.0,45.466155810983395,0.35371486460962587,25.862068965517242,0.0,45.466155810983395
XRV linear-head,Cardiomegaly,52553,16036,52553,16036,15,242,130,409,750,1136,0,183,1,495,21,1268,0.028542614122885467,1.5091045148416065,0.0,1.141182339735595,0.24736932239834072,2.5505113494637066,0.001902840941525698,3.08680468944874,1.4271307061442735,7.084060863058119,0.039959659772039656,7.90720878024445
XRV linear-head,Consolidation,15652,8256,15652,8256,26,43,139,98,419,437,0,104,1,224,20,429,0.16611295681063123,0.5208333333333334,0.0,1.2596899224806202,0.8880654229491439,1.187015503875969,0.006388959877331971,2.7131782945736433,2.6769741886020957,5.29312015503876,0.1277791975466394,5.196220930232558
XRV linear-head,Edema,42117,25445,42117,25445,104,94,313,243,970,828,36,93,90,272,230,784,0.2469311679369376,0.36942424837885635,0.08547617351663224,0.3654942031833366,0.7431678419640525,0.9550009825112988,0.2136904337915806,1.0689722931813717,2.303108008642591,3.2540774218903517,0.5460977752451505,3.0811554332874826
XRV linear-head,Enlarged Cardiomediastinum,17129,5330,17129,5330,11,41,103,96,370,364,0,86,0,259,0,583,0.0642185766828186,0.7692307692307693,0.0,1.6135084427767354,0.6013193998482106,1.801125703564728,0.0,4.859287054409005,2.1600793975129897,6.829268292682927,0.0,10.938086303939963
XRV linear-head,Fracture,5267,952,5267,952,0,78,4,94,77,137,0,13,0,44,0,126,0.0,8.193277310924369,0.0,1.365546218487395,0.07594456047085628,9.873949579831933,0.0,4.621848739495798,1.4619327890639833,14.390756302521009,0.0,13.235294117647058
XRV linear-head,Lung Lesion,7593,820,7593,820,0,38,11,51,78,110,0,72,0,135,0,226,0.0,4.634146341463414,0.0,8.78048780487805,0.14487027525352297,6.219512195121951,0.0,16.463414634146343,1.0272619517977084,13.414634146341463,0.0,27.5609756097561
XRV linear-head,Lung Opacity,57111,2979,57111,2979,0,133,12,313,243,647,0,509,0,966,0,1189,0.0,4.464585431352803,0.0,17.0862705605908,0.021011714030572042,10.506881503860356,0.0,32.4269889224572,0.4254872091190839,21.71869754951326,0.0,39.91272239006378
XRV linear-head,Pleural Effusion,62076,27073,62076,27073,136,73,369,199,1073,909,52,265,134,538,344,1035,0.21908628133256008,0.26964134008052304,0.08376828403892003,0.9788350016621726,0.5944326309684902,0.7350496804934806,0.2158644242541401,1.9872197392235806,1.7285263225723306,3.3575887415506225,0.5541594174882403,3.82299708196358
XRV linear-head,Pleural Other,2774,123,2774,123,0,7,1,11,24,23,0,27,0,37,0,50,0.0,5.691056910569106,0.0,21.951219512195124,0.03604902667627974,8.94308943089431,0.0,30.08130081300813,0.8651766402307137,18.69918699186992,0.0,40.65040650406504
XRV linear-head,Pneumonia,35627,23838,35627,23838,134,92,565,465,1476,1256,0,28,8,77,86,294,0.37611923541134534,0.3859384176524876,0.0,0.11745951841597449,1.5858758806523143,1.9506670022652908,0.022454879726050467,0.32301367564392985,4.142925309456311,5.26889839751657,0.24138995705504251,1.2333249433677322
XRV linear-head,Pneumothorax,12206,43776,12206,43776,715,20,1098,114,1580,646,24,3,179,9,939,25,5.85777486482058,0.04568713450292398,0.19662461084712438,0.006853070175438596,8.99557594625594,0.2604166666666667,1.4664918892348024,0.02055921052631579,12.944453547435687,1.4756944444444444,7.6929378993937405,0.05710891812865497
