n_classes,seed,injected_noise_rate,true_noise_rate,estimated_noise_rate,issue_precision,issue_recall,oof_auroc_vs_clean
2,0,0.0,0.0,0.298,0.0,,0.70416
2,0,0.05,0.0506,0.32,0.095625,0.6047430830039525,0.70284608
2,0,0.1,0.1034,0.3432,0.18473193473193472,0.6131528046421664,0.70009984
2,0,0.15,0.157,0.3746,0.26321409503470367,0.6280254777070063,0.6970206400000001
2,0,0.2,0.2092,0.3936,0.34146341463414637,0.6424474187380497,0.6945174399999999
2,0,0.25,0.2596,0.415,0.39951807228915664,0.6386748844375963,0.6900364800000001
2,0,0.3,0.3036,0.4208,0.4538973384030418,0.6291172595520421,0.68835968
2,0,0.35,0.3516,0.4302,0.497907949790795,0.6092150170648464,0.6748175999999999
2,0,0.4,0.4024,0.447,0.5297539149888143,0.588469184890656,0.65165456
2,0,0.45,0.454,0.4418,0.5622453598913536,0.547136563876652,0.6149859200000001
2,0,0.5,0.504,0.4404,0.5440508628519528,0.4753968253968254,0.5394984
2,1,0.0,0.0,0.2864,0.0,,0.7113512000000001
2,1,0.05,0.0506,0.3134,0.1021059349074665,0.6324110671936759,0.71327232
2,1,0.1,0.1024,0.3454,0.1910828025477707,0.64453125,0.710512
2,1,0.15,0.1534,0.3774,0.2681505034446211,0.6597131681877445,0.70881552
2,1,0.2,0.203,0.398,0.3402010050251256,0.6669950738916256,0.7079820800000001
2,1,0.25,0.2524,0.4216,0.396584440227704,0.6624405705229794,0.70432592
2,1,0.3,0.3056,0.4486,0.4462773071778868,0.6551047120418848,0.6952801599999999
2,1,0.35,0.3564,0.4674,0.4895164741121095,0.6419753086419753,0.67664576
2,1,0.4,0.4014,0.4748,0.5202190395956192,0.615346287992028,0.6554009599999999
2,1,0.45,0.4462,0.4778,0.5115110925073253,0.5477364410578216,0.58714112
2,1,0.5,0.4918,0.5174,0.4514882102821801,0.4749898332655551,0.45243215999999997
2,2,0.0,0.0,0.2604,0.0,,0.74316352
2,2,0.05,0.054,0.298,0.11275167785234899,0.6222222222222222,0.74291696
2,2,0.1,0.1044,0.325,0.20676923076923076,0.6436781609195402,0.74126768
2,2,0.15,0.1522,0.3444,0.28339140534262486,0.6412614980289093,0.74181536
2,2,0.2,0.2062,0.3726,0.35909822866344604,0.6488845780795345,0.74095248
2,2,0.25,0.253,0.3954,0.4188163884673748,0.6545454545454545,0.73760384
2,2,0.3,0.305,0.4198,0.47689375893282515,0.6563934426229509,0.73598784
